bhv1	Bovine herpesvirus 1
bhv5	Bovine herpesvirus 5
bkv	BK polyomavirus
blv	Bovine leukemia virus
bpcv1	Bandicoot papillomatosis carcinomatosis virus type 1
bpcv2	Bandicoot papillomatosis carcinomatosis virus type 2
dev	Duck enteritis virus
ebv	Epstein Barr virus
gggpv1	Gorilla gorilla gorilla polyomavirus 1
hbv	Herpes B virus
hcmv	Human cytomegalovirus
hhv6b	Human herpesvirus 6B
hiv1	Human immunodeficiency virus 1
hsv1	Herpes Simplex Virus 1
hsv2	Herpes Simplex Virus 2
hvsa	Herpesvirus saimiri strain A11
hvt	Herpesvirus of turkeys
iltv	Infectious laryngotracheitis virus
jcv	JC polyomavirus
kshv	Kaposi sarcoma-associated herpesvirus
mcmv	Mouse cytomegalovirus
mcpv	Merkel cell polyomavirus
mdv1	Mareks disease virus type 1
mdv2	Mareks disease virus type 2
mghv	Mouse gammaherpesvirus 68
prv	Pseudorabies virus
ptvpv2a	Pan troglodytes verus polyomavirus 2a
racpv	Raccoon polyomavirus
rlcv	Rhesus lymphocryptovirus
rrv	Rhesus monkey rhadinovirus
sfv	Simian foamy virus
sv40	Simian virus 40
ttv	Torque teno virus
